customer_id,sex,is_married,event_time,age_18-29,age_30-39,age_40-49,age_50-59,age_60-69,age_70-plus,n_days_active
C1,0,1,2024-05-02T05:39:10.965Z,0,0,0,0,0,1,0.20342465753424666
C2,1,1,2024-05-02T05:39:10.966Z,0,0,0,0,0,1,0.8595890410958904
C3,1,1,2024-05-02T05:39:10.967Z,0,1,0,0,0,0,0.5273972602739727
C4,1,0,2024-05-02T05:39:10.967Z,0,0,0,0,1,0,0.7808219178082192
C5,1,0,2024-05-02T05:39:10.968Z,0,0,0,0,1,0,0.691095890410959
C6,1,1,2024-05-02T05:39:10.969Z,0,0,0,0,0,1,0.7349315068493152
C7,1,0,2024-05-02T05:39:10.970Z,0,0,0,0,0,1,0.44999999999999996
C8,1,0,2024-05-02T05:39:10.971Z,0,1,0,0,0,0,0.3520547945205479
C9,1,0,2024-05-02T05:39:10.972Z,0,0,0,0,0,1,0.3136986301369864
C10,1,1,2024-05-02T05:39:10.972Z,0,1,0,0,0,0,0.2513698630136987
C11,0,1,2024-05-02T05:39:10.973Z,1,0,0,0,0,0,0.7061643835616438
C12,0,0,2024-05-02T05:39:10.973Z,0,0,0,0,0,1,0.34589041095890405
C13,0,0,2024-05-02T05:39:10.974Z,0,0,0,1,0,0,0.26712328767123283
C14,0,0,2024-05-02T05:39:10.975Z,1,0,0,0,0,0,0.09520547945205471
C15,0,0,2024-05-02T05:39:10.976Z,0,0,1,0,0,0,0.7856164383561643
C16,0,0,2024-05-02T05:39:10.976Z,0,0,0,1,0,0,0.9924657534246575
C17,1,0,2024-05-02T05:39:10.977Z,0,0,1,0,0,0,0.1623287671232876
C18,1,1,2024-05-02T05:39:10.978Z,0,0,0,1,0,0,0.00136986301369868
C19,1,0,2024-05-02T05:39:10.978Z,0,0,1,0,0,0,0.3136986301369864
C20,0,0,2024-05-02T05:39:10.979Z,0,1,0,0,0,0,0.42602739726027394
C21,0,0,2024-05-02T05:39:10.980Z,0,1,0,0,0,0,0.19109589041095898
C22,1,1,2024-05-02T05:39:10.981Z,0,0,1,0,0,0,0.7301369863013698
C23,1,0,2024-05-02T05:39:10.981Z,0,0,0,0,1,0,0.09109589041095889
C24,0,0,2024-05-02T05:39:10.982Z,0,0,0,0,1,0,0.7157534246575343
C25,1,0,2024-05-02T05:39:10.983Z,0,0,0,0,1,0,0.09178082191780823
C26,0,1,2024-05-02T05:39:10.983Z,0,0,1,0,0,0,0.9705479452054795
C27,0,0,2024-05-02T05:39:10.984Z,0,0,0,0,1,0,0.6356164383561644
C28,1,0,2024-05-02T05:39:10.984Z,0,0,0,0,0,1,0.4616438356164383
C29,1,0,2024-05-02T05:39:10.985Z,0,0,0,0,0,1,0.9438356164383563
C30,1,1,2024-05-02T05:39:10.985Z,0,0,0,1,0,0,0.2246575342465753
C31,0,1,2024-05-02T05:39:10.986Z,0,0,0,0,1,0,0.6349315068493151
C32,1,0,2024-05-02T05:39:10.987Z,0,1,0,0,0,0,0.9767123287671233
C33,1,0,2024-05-02T05:39:10.987Z,0,1,0,0,0,0,0.4198630136986301
C34,1,0,2024-05-02T05:39:10.988Z,0,0,1,0,0,0,0.11438356164383556
C35,0,1,2024-05-02T05:39:10.988Z,1,0,0,0,0,0,0.226027397260274
C36,1,0,2024-05-02T05:39:10.989Z,0,0,0,0,1,0,0.20342465753424666
C37,1,0,2024-05-02T05:39:10.990Z,0,1,0,0,0,0,0.3226027397260274
C38,0,1,2024-05-02T05:39:10.990Z,0,0,0,0,0,1,0.8417808219178082
C39,0,0,2024-05-02T05:39:10.991Z,0,1,0,0,0,0,0.38767123287671246
C40,1,1,2024-05-02T05:39:10.992Z,0,0,1,0,0,0,0.7102739726027398
C41,0,1,2024-05-02T05:39:10.992Z,0,1,0,0,0,0,0.36986301369863006
C42,0,0,2024-05-02T05:39:10.993Z,1,0,0,0,0,0,0.11643835616438358
C43,1,0,2024-05-02T05:39:10.994Z,0,0,1,0,0,0,0.5945205479452056
C44,0,1,2024-05-02T05:39:10.995Z,0,0,0,0,0,1,0.6102739726027397
C45,0,1,2024-05-02T05:39:10.995Z,0,0,0,0,1,0,0.39863013698630145
C46,1,1,2024-05-02T05:39:10.996Z,0,1,0,0,0,0,0.13561643835616444
C47,1,1,2024-05-02T05:39:10.996Z,0,0,0,0,0,1,0.1657534246575343
C48,1,0,2024-05-02T05:39:10.997Z,1,0,0,0,0,0,0.08424657534246571
C49,0,0,2024-05-02T05:39:10.998Z,0,0,1,0,0,0,0.06232876712328772
C50,0,0,2024-05-02T05:39:10.998Z,0,0,0,0,0,1,0.3047945205479452
C51,0,1,2024-05-02T05:39:10.999Z,0,0,0,1,0,0,0.8904109589041096
C52,0,1,2024-05-02T05:39:10.999Z,0,0,0,0,1,0,0.15068493150684925
C53,0,0,2024-05-02T05:39:11.000Z,0,0,0,0,0,1,0.008904109589041198
C54,1,0,2024-05-02T05:39:11.001Z,0,0,0,0,1,0,0.011643835616438336
C55,1,0,2024-05-02T05:39:11.002Z,0,0,0,0,0,1,0.2205479452054795
C56,1,1,2024-05-02T05:39:11.003Z,0,0,0,0,1,0,0.7301369863013698
C57,1,0,2024-05-02T05:39:11.003Z,0,0,0,0,0,1,0.55
C58,1,1,2024-05-02T05:39:11.004Z,0,0,0,0,1,0,0.48424657534246585
C59,0,0,2024-05-02T05:39:11.004Z,1,0,0,0,0,0,0.40753424657534243
C60,1,0,2024-05-02T05:39:11.005Z,1,0,0,0,0,0,0.10547945205479459
C61,1,1,2024-05-02T05:39:11.006Z,0,0,0,1,0,0,0.7541095890410958
